hf_revision,model,role,license,total_params,active_params,architecture,layers,attention_layers,recurrent_conv_layers,kv_heads,head_dim,hidden_size,context,vocab,base_checkpoint,post_trained_checkpoint,gguf_availability,transformers_support,llamacpp_pinned_9918_support,download_gib,bitdistill_status
(pinned local GGUF; see artifacts/coordinates.edn),microsoft/BitNet-b1.58-2B-4T,controller INCUMBENT,MIT,2.4B,2.4B,bitnet-b1.58,30,30,0,5,128,2560,4096,128256,yes,yes,"yes (i2_s, local)",yes,yes (LLM_ARCH_BITNET_B158),1.1,proven (is the ternary baseline)
c1899de289a04d12100db370d81485cdf75e47ca,Qwen/Qwen3-0.6B,controller CONTROL,apache-2.0,0.6B,0.6B,qwen3,28,28,0,8,128,1024,32768,151936,yes,yes,community,yes,yes (LLM_ARCH_QWEN3),1.4,plausible (dense attention)
70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,Qwen/Qwen3-1.7B,controller CONTROL,apache-2.0,1.7B,1.7B,qwen3,28,28,0,8,128,2048,32768,151936,yes,yes,community,yes,yes (LLM_ARCH_QWEN3),3.4,plausible (dense attention)
2fc06364715b967f1860aea9cf38778875588b17,Qwen/Qwen3.5-0.8B,controller CANDIDATE,apache-2.0,0.8B,0.8B,qwen3_5 (6 attn + 18 gated DeltaNet),24,6,18,2,256,1024,262144,248320,yes (-Base),yes,ggml-org Q4_0; bartowski; unsloth,yes (5.16.1),yes (LLM_ARCH_QWEN35),1.7,unknown (hybrid; off-box)
15852e8c16360a2fea060d615a32b45270f8a8fc,Qwen/Qwen3.5-2B,controller CANDIDATE,apache-2.0,2B,2B,qwen3_5 (6 attn + 18 gated DeltaNet),24,6,18,2,256,2048,262144,248320,yes (-Base),yes,bartowski; unsloth; lmstudio,yes (5.16.1),yes (LLM_ARCH_QWEN35),4.2,unknown (hybrid; off-box)
0f604ada3f766f9f257460c4c9f0b5d6f69d431b,LiquidAI/LFM2.5-1.2B-Instruct,controller CANDIDATE,LFM Open License v1.0 (other),1.2B,1.2B,lfm2 (6 attn + 10 short-conv),16,6,10,8,64,2048,128000,65536,yes (-Base),yes,OFFICIAL incl. QAD-Q4_0,yes (5.16.1),yes (LLM_ARCH_LFM2),2.4,unknown (hybrid; QAD is its own low-bit path)
654f9463ce32b05d0429d76fe1f580b27d4c1ac0,LiquidAI/LFM2.5-2.6B,controller CANDIDATE,LFM Open License v1.0 (other),2.6B,2.6B,lfm2 (8 attn + 22 short-conv),30,8,22,8,64,2048,131072,128000,yes (-Base),yes,OFFICIAL incl. QAD-Q4_0,yes (5.16.1),yes (LLM_ARCH_LFM2),5.2,unknown (hybrid; QAD is its own low-bit path)
dfaf35de3e30f1867dd8dbc38a7fc9fb52d3914f,nvidia/NVIDIA-Nemotron-3-Nano-4B-BF16,controller CANDIDATE,NVIDIA Open Model License (other),4B,4B,nemotron_h (4 attn + 21 mamba2 + 17 MLP),42,4,21,8,128,3136,262144,131072,unclear,yes,OFFICIAL Q4_K_M,yes (trust_remote_code),yes (LLM_ARCH_NEMOTRON_H),8.0,unknown (mamba2; off-box)
5dd22602c2e9f6a097b1de4c4efe0658b605015c,LiquidAI/LFM2.5-8B-A1B,controller WILDCARD,LFM Open License v1.0 (other),8B,"1B active (32 experts, top-4)",lfm2_moe (6 attn + 18 conv),24,6,18,8,64,2048,128000,128000,yes (-Base),yes,community,yes,yes (LLM_ARCH_LFM2MOE),16.0,unknown (hybrid MoE; off-box)
a4e59da52a7b,meta-models/Muse-Glimmer-30B,local teacher/architect,apache-2.0,30B,30B,muse_glimmer (image-text-to-text),?,?,?,?,?,?,?,?,?,yes,OFFICIAL meta-models/*-GGUF,yes,NO -- arch absent from pinned build,55.5,n/a (teacher tier)
1d4bf0f2ff60,Qwen/Qwen3.8-27B,local teacher/architect,apache-2.0,27B,27B,qwen3_5 (image-text-to-text),?,?,?,?,?,?,?,?,?,yes,unsloth UD-Q4_K_XL 16.35 GiB,yes,LIKELY (declares model_type qwen3_5),51.8,n/a (teacher tier)
a9904d24bcc1,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,local teacher/architect,NVIDIA Open Model License (other),30B,3B active,nemotron_h MoE,?,?,?,?,?,?,?,?,?,yes,not found at probe time,yes (trust_remote_code),"arch present, MoE variant unverified",61.3,n/a (teacher tier; CUDA-first)
